Date,Start_Time,Model,tau_max,k,gamma_max,delta_max,E_star,a,b,p,SSE,Penalized_SSQ_fixed_model,Convergence,n_independent
2012-01-14,2012-01-14 06:00:00,Instantaneous,NA,5,0.13877215630706638,0.00470887676956026,705.6027855605303,1.022918421514689,5.640332624302343,NA,0.005590939561034576,4.374757090011405e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,1,6,0.14856985735868183,0.0046978416856413045,768.2514893366663,1.0235665674948073,5.649847622315811,0.999,0.005591373723693352,4.381954328913285e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,3,6,0.14953325089826702,0.004705482607690036,774.281592236514,1.02290383215558,5.64249124821076,0.999,0.005591349056331871,4.381934997125291e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,6,6,0.1495130810889109,0.004706394892790224,774.3132958513941,1.022748397462113,5.641096821748156,0.999,0.005591349609016706,4.381935430263876e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,12,6,0.1495315593394877,0.00470633875722726,774.2826505378843,1.0228386629451445,5.64195183435315,0.999,0.005591349022769949,4.381934970822844e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,24,6,0.14953155950577782,0.00470633879678427,774.2826515025757,1.022838660360891,5.641951818084069,0.999,0.00559134902276645,4.3819349708201015e-6,0,1288
2012-01-14,2012-01-14 06:00:00,Kernel,33,6,0.14953155950577782,0.00470633879678427,774.2826515025757,1.022838660360891,5.641951818084069,0.999,0.00559134902276645,4.3819349708201015e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Instantaneous,NA,5,0.06667862219074898,0.001,716.7890669760137,1.297703678168975,6.607686896457762,NA,0.003960465195440296,3.0989555519877117e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,1,6,0.020884183236028336,0.001,10,1.3791953991450199,7.659789574664186,0.001,0.003518039778441616,2.7570844658633355e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,3,6,0.02359950279495854,0.0019082617726768664,10,1.3298854874087724,5.870611388922658,0.001,0.002966745383797357,2.325035567239308e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,6,6,0.029169378417152475,0.0029641884594589865,46.73498269051975,1.2983397276984816,5.1877994157798435,0.05949501288935254,0.0027276201068187765,2.1376333125539e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,12,6,0.09854540777136578,0.0026922901567663373,630.9318307211289,1.3085136043817973,5.316207622173835,0.2039543887496078,0.0029635762988461955,2.3225519583434134e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,24,6,0.09589871664576707,0.0026224498694045173,613.5368064716569,1.3113022697352443,5.361388679335649,0.22463977581809738,0.0030103976959456923,2.359245843217627e-6,0,1288
2012-01-15,2012-01-15 06:00:00,Kernel,33,6,0.028874340667184813,0.0033888988455573286,37.16089547262699,1.2757899965725636,4.940479731760992,0.351203710737135,0.002842556780494786,2.227709075622873e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Instantaneous,NA,5,0.14855104997691093,0.003778968061348976,896.9738171343354,1.0209384126310328,8.790617387254704,NA,0.006325239681229176,4.949326824122986e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,1,6,0.1450650414355029,0.0037800079791802765,871.1183550164351,1.0209549482838725,8.787847531828367,0.999,0.006325946207246565,4.957638093453421e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,3,6,0.13925035222537857,0.003779512557054855,828.2302314166369,1.021047106882959,8.790373563746408,0.999,0.006325133087546971,4.957000852309538e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,6,6,0.1399444039737312,0.003778716375776359,833.3888182886136,1.0210960839365748,8.791881896356422,0.999,0.006325233706547153,4.957079707325355e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,12,6,0.14028128208195312,0.003779708215641424,835.8387732263816,1.021023035843425,8.78973281341832,0.999,0.006325282743843191,4.9571181378081435e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,24,6,0.14028126629839197,0.003779710826580589,835.8386365632401,1.0210227413936115,8.789728047703028,0.999,0.006325282744380806,4.957118138229472e-6,0,1288
2012-01-16,2012-01-16 06:00:00,Kernel,33,6,0.14028126629839197,0.003779710826580589,835.8386365632401,1.0210227413936115,8.789728047703028,0.999,0.006325282744380806,4.957118138229472e-6,0,1288
