"Pair","Param1","Param2","Param1Value","Param2Value","SSE","Log10SSE"
"gamma_max_vs_delta_max","gamma_max","delta_max",0.2,0.03,2.28512221585481e-05,-4.64109056747512
"gamma_max_vs_E_star","gamma_max","E_star",0.185714285714286,421.428571428571,5.76162168401044e-05,-4.23945526149133
"gamma_max_vs_a","gamma_max","a",0.2,2,2.28512221585481e-05,-4.64109056747512
"gamma_max_vs_b","gamma_max","b",0.2,1,2.28512221585481e-05,-4.64109056747512
"gamma_max_vs_p","gamma_max","p",0.2,0.4,2.28512221585481e-05,-4.64109056747512
"delta_max_vs_E_star","delta_max","E_star",0.03,485.714285714286,7.95955811201677e-05,-4.09911104216682
"delta_max_vs_a","delta_max","a",0.03,2,2.28512221585481e-05,-4.64109056747512
"delta_max_vs_b","delta_max","b",0.03,1,2.28512221585481e-05,-4.64109056747512
"delta_max_vs_p","delta_max","p",0.03,0.4,2.28512221585481e-05,-4.64109056747512
"E_star_vs_a","E_star","a",485.714285714286,2,7.95955811201677e-05,-4.09911104216682
"E_star_vs_b","E_star","b",485.714285714286,1,7.95955811201677e-05,-4.09911104216682
"E_star_vs_p","E_star","p",485.714285714286,0.4,7.95955811201677e-05,-4.09911104216682
"a_vs_b","a","b",2,1,2.28512221585481e-05,-4.64109056747512
"a_vs_p","a","p",2,0.4,2.28512221585481e-05,-4.64109056747512
"b_vs_p","b","p",1,0.4,2.28512221585481e-05,-4.64109056747512
