"Pair","Param1","Param1True","Param1Best","Param2","Param2True","Param2Best","MinimumSSE"
"gamma_max_vs_delta_max","gamma_max",0.2,0.2,"delta_max",0.03,0.03,2.28512221585481e-05
"gamma_max_vs_E_star","gamma_max",0.2,0.185714285714286,"E_star",500,421.428571428571,5.76162168401044e-05
"gamma_max_vs_a","gamma_max",0.2,0.2,"a",2,2,2.28512221585481e-05
"gamma_max_vs_b","gamma_max",0.2,0.2,"b",1,1,2.28512221585481e-05
"gamma_max_vs_p","gamma_max",0.2,0.2,"p",0.4,0.4,2.28512221585481e-05
"delta_max_vs_E_star","delta_max",0.03,0.03,"E_star",500,485.714285714286,7.95955811201677e-05
"delta_max_vs_a","delta_max",0.03,0.03,"a",2,2,2.28512221585481e-05
"delta_max_vs_b","delta_max",0.03,0.03,"b",1,1,2.28512221585481e-05
"delta_max_vs_p","delta_max",0.03,0.03,"p",0.4,0.4,2.28512221585481e-05
"E_star_vs_a","E_star",500,485.714285714286,"a",2,2,7.95955811201677e-05
"E_star_vs_b","E_star",500,485.714285714286,"b",1,1,7.95955811201677e-05
"E_star_vs_p","E_star",500,485.714285714286,"p",0.4,0.4,7.95955811201677e-05
"a_vs_b","a",2,2,"b",1,1,2.28512221585481e-05
"a_vs_p","a",2,2,"p",0.4,0.4,2.28512221585481e-05
"b_vs_p","b",1,1,"p",0.4,0.4,2.28512221585481e-05
